id,timestamp,text
8653,2009-04-06T21:21:56Z,falling asleep. just heard about that tracy girl's body being found. how sad  my heart breaks for that family.
12020,2009-04-06T21:22:47Z,"i have a sad feeling that dallas is not going to show up  i gotta say though, you'd think more shows would use music from the game. mmm"
23858,2009-04-06T21:25:53Z,"@statravelau just got ur newsletter, those fares really are unbelievable, shame i already booked and paid for mine "
51844,2009-04-06T21:33:11Z,@djalizay i really don't think people choose to be that way. but i think he chose not to accept my family's help   he might be dead by now
52341,2009-04-06T21:33:20Z,my mind and body are severely protesting this &quot;getting up&quot;  thing. had nightmares to boot 
82794,2009-04-06T21:41:27Z,my thoughts are with sandra cantu's family at this difficult and sad time 
84377,2009-04-06T21:41:54Z,"aww, sandra cantu is found dead in a suitcase  missing children stories never seem to go good. poor family."
89668,2009-04-06T21:43:22Z,stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! 
120701,2009-04-06T21:52:06Z,"&quot;on popular music&quot; by t.w.adorno is probably the most difficult reading ever prescribed, i'm actually struggling to continue "
140666,2009-04-06T21:57:50Z,poor sandra cantu &amp; the cantu family! my prayers go out to them! what a sick world we live in. she was only 8 
159109,2009-04-06T22:02:53Z,"this earthquake in italy has me sadden.  it's only three hours away from naples, where my family is "
171912,2009-04-06T22:06:33Z,"@katebornstein which is pretty anti memorial tattoos   but for all but the strictest, there's no official ban, just disapproving family"
181838,2009-04-06T22:09:26Z,i hate converting movies just to put em on my itouch 
188426,2009-04-06T22:11:18Z,"just been playing with the new mobbler v0.4.0 and it adds some great new features, but won't play music on my e71, like v0.3.5 did "
194477,2009-04-06T22:13:02Z,heartbroken over little sandra. prayers are with the family. 
204645,2009-04-06T22:16:04Z,is stucked in paris and can't even travel into france (for work) 
210952,2009-04-06T22:18:01Z,i have to be out of my place in 3 days...any help i can get packing/painting/cleaning is much appreciated. oh. and rip my wall  
277982,2009-04-06T22:38:57Z,good morning for a very rainy france  no gardening for me today.
286565,2009-04-06T22:41:47Z,my condolences to natasha richardson's family 
300784,2009-04-06T22:46:27Z,going to sleep with lily and rocki &lt;3 johnathon is too busy watching batman movies  http://twitpic.com/2y4j5
305149,2009-04-06T22:47:55Z,"decided to rejoin aerobics cos i know i won't exercise if i don't. after paying for it, i only have rm3 left in my bag "
311767,2009-04-06T22:50:07Z,britney was fucking amazing!! after we just went back to the hotel...i hate travelling with cheapos. 
336806,2009-04-06T22:58:33Z,poor sandra cantu. my heart goes out to her family and friends. rest in peace little one! 
350639,2009-04-06T23:02:54Z,@rachaelyamagata you were amazing rach! thank you for the music! i waited outside but you never showed up!  there's always the next album!
363004,2009-04-06T23:06:51Z,"ugh, just read on #cnn that they found the cantu girl's body in a pond near their home. how terrible for her family "
376118,2009-04-06T23:11:03Z,"@hamporter i always walk by the annex hoping to see you, but instead i get the nguyen family "
385252,2009-04-06T23:14:05Z,.. sad to hear about the discovery of the little girl from tracy. her poor family 
413484,2009-04-06T23:23:39Z,"fuck! len wein's house caught fire earlier today. the family is safe, but they lost their dog. "
423359,2009-04-06T23:27:03Z,"guess what? my dad is pregnant!!! lol nah, the doctor does have to give him an epidural for his chronic back pain, though. "
441462,2009-04-06T23:33:13Z,no music today. blip.fm is undergoing maintenance 
477104,2009-04-06T23:45:40Z,@deepbluesealove your beau's not online tonight  bummer for u...and no music either!
535874,2009-04-07T00:06:36Z,"r.i.p baby girl sandra cantu.....my prayers r with the cantu family, be strong! "
538835,2009-04-07T00:07:39Z,"&quot;blip.fm is undergoing maintenance.&quot; sorry, no music tweets for now. i'm shaking already "
541313,2009-04-07T00:08:33Z,bkk has protest  maybe ho chi minn city?!
576265,2009-04-07T00:21:15Z,@deepbluesealove im still here .. reading an article on a different site.seems a little dull on twitter tonight with no music 
579900,2009-04-07T00:22:37Z,i've got such a lot at the moment! doubt i'm going to get chance to book time off with the family this easter hol's 
597049,2009-04-07T00:28:53Z,"@mrsfr yes, unfortunately the date clashed with an important and long standing family party, got to do it on my own "
597556,2009-04-07T00:29:05Z,"@charliecondou 4skinmusic, more like "
600739,2009-04-07T00:30:11Z,; i miss family guyyy. 
724402,2009-04-07T01:15:39Z,something's wrong. i keep getting some error graphic instead of the music player when i go to a musician's myspace page now. 
733871,2009-04-07T01:19:14Z,@binncheol  you should listen to some music by this dude called andy hull and afew other blokes. i even hear they're playing ldn tomorrow!
761494,2009-04-07T01:29:13Z,sad movies make me think of things that i don't really wanna think about 
764443,2009-04-07T01:30:13Z,"@andrerib oh, today it is not possible for me  family matters, but i will try to attend next !"
789968,2009-04-07T01:39:18Z,"@catq was so thinking of you, family and friends. glad you're okay! but it's a black day for italy, with all those people killed. "
850872,2009-04-07T02:01:12Z,study history of music ..... bored ..... help me please!!!!!!!!!! 
860751,2009-04-07T02:04:30Z,@sentricmusic ...suffice to say their offer was ignored. then emi.com launched and they all laughed rather a lot... 
868758,2009-04-07T02:07:17Z,been with o2 for 18 months now. in need of phone upgrade. iphone comes to 500+ over contract life  need smartphone with cheapo talk plan!
892924,2009-04-07T02:15:42Z,still having problems with the ipod   disk is storing data out of order &amp; i keep getting a disk error...my entire life in music...
893552,2009-04-07T02:15:54Z,@chrisgedrim you dissed my taste in music 
898443,2009-04-07T02:17:35Z,@karmadillo no - bad - very bad  not bought a single easter egg yet so in family bad books and dog is missing his extra long walks.
